,chin_x0,chin_y0,chin_x1,chin_y1,chin_x2,chin_y2,chin_x3,chin_y3,chin_x4,chin_y4,chin_x5,chin_y5,chin_x6,chin_y6,chin_x7,chin_y7,chin_x8,chin_y8,chin_x9,chin_y9,chin_x10,chin_y10,chin_x11,chin_y11,chin_x12,chin_y12,chin_x13,chin_y13,chin_x14,chin_y14,chin_x15,chin_y15,chin_x16,chin_y16,right_eyebrow_x0,right_eyebrow_y0,right_eyebrow_x1,right_eyebrow_y1,right_eyebrow_x2,right_eyebrow_y2,right_eyebrow_x3,right_eyebrow_y3,right_eyebrow_x4,right_eyebrow_y4,left_eyebrow_x0,left_eyebrow_y0,left_eyebrow_x1,left_eyebrow_y1,left_eyebrow_x2,left_eyebrow_y2,left_eyebrow_x3,left_eyebrow_y3,left_eyebrow_x4,left_eyebrow_y4,nose_x0,nose_y0,nose_x1,nose_y1,nose_x2,nose_y2,nose_x3,nose_y3,nose_x4,nose_y4,nose_x5,nose_y5,nose_x6,nose_y6,nose_x7,nose_y7,nose_x8,nose_y8,right_eye_x0,right_eye_y0,right_eye_x1,right_eye_y1,right_eye_x2,right_eye_y2,right_eye_x3,right_eye_y3,right_eye_x4,right_eye_y4,right_eye_x5,right_eye_y5,left_eye_x0,left_eye_y0,left_eye_x1,left_eye_y1,left_eye_x2,left_eye_y2,left_eye_x3,left_eye_y3,left_eye_x4,left_eye_y4,left_eye_x5,left_eye_y5,mouth_x0,mouth_y0,mouth_x1,mouth_y1,mouth_x2,mouth_y2,mouth_x3,mouth_y3,mouth_x4,mouth_y4,mouth_x5,mouth_y5,mouth_x6,mouth_y6,mouth_x7,mouth_y7,mouth_x8,mouth_y8,mouth_x9,mouth_y9,mouth_x10,mouth_y10,mouth_x11,mouth_y11,mouth_x12,mouth_y12,mouth_x13,mouth_y13,mouth_x14,mouth_y14,mouth_x15,mouth_y15,mouth_x16,mouth_y16,mouth_x17,mouth_y17,mouth_x18,mouth_y18,mouth_x19,mouth_y19,target
000.jpg,0.519480519,0.824675325,0.538961039,0.954545455,0.558441558,1.077922078,0.590909091,1.201298701,0.636363636,1.318181818,0.701298701,1.415584416,0.792207792,1.5,0.883116883,1.564935065,0.993506494,1.590909091,1.103896104,1.564935065,1.201298701,1.493506494,1.285714286,1.409090909,1.350649351,1.311688312,1.38961039,1.201298701,1.415584416,1.077922078,1.448051948,0.961038961,1.461038961,0.831168831,0.571428571,0.714285714,0.636363636,0.655844156,0.733766234,0.642857143,0.831168831,0.655844156,0.928571429,0.688311688,1.077922078,0.694805195,1.175324675,0.675324675,1.266233766,0.662337662,1.363636364,0.675324675,1.415584416,0.74025974,1.006493506,0.785714286,1.006493506,0.850649351,1.006493506,0.928571429,1.006493506,1,0.909090909,1.077922078,0.954545455,1.090909091,1.006493506,1.103896104,1.051948052,1.090909091,1.090909091,1.071428571,0.688311688,0.811688312,0.74025974,0.798701299,0.798701299,0.792207792,0.857142857,0.805194805,0.798701299,0.824675325,0.74025974,0.824675325,1.142857143,0.811688312,1.194805195,0.798701299,1.253246753,0.805194805,1.305194805,0.818181818,1.253246753,0.831168831,1.194805195,0.831168831,0.824675325,1.272727273,0.88961039,1.246753247,0.954545455,1.220779221,1.006493506,1.24025974,1.058441558,1.220779221,1.116883117,1.246753247,1.168831169,1.272727273,1.11038961,1.318181818,1.051948052,1.350649351,1,1.350649351,0.948051948,1.344155844,0.88961039,1.318181818,0.857142857,1.279220779,0.948051948,1.272727273,1.006493506,1.279220779,1.058441558,1.272727273,1.142857143,1.279220779,1.051948052,1.272727273,1.006493506,1.285714286,0.948051948,1.272727273,1
001.jpg,0.527027027,0.851351351,0.533783784,0.97972973,0.560810811,1.101351351,0.587837838,1.222972973,0.628378378,1.331081081,0.695945946,1.439189189,0.783783784,1.527027027,0.885135135,1.601351351,1,1.621621622,1.108108108,1.608108108,1.209459459,1.533783784,1.297297297,1.452702703,1.364864865,1.358108108,1.405405405,1.243243243,1.432432432,1.121621622,1.459459459,1.006756757,1.47972973,0.878378378,0.581081081,0.743243243,0.648648649,0.675675676,0.75,0.662162162,0.851351351,0.675675676,0.952702703,0.709459459,1.067567568,0.716216216,1.175675676,0.695945946,1.27027027,0.682432432,1.371621622,0.695945946,1.432432432,0.763513514,1.013513514,0.783783784,1.006756757,0.851351351,1.006756757,0.925675676,1.006756757,1.006756757,0.905405405,1.081081081,0.952702703,1.094594595,1,1.108108108,1.047297297,1.094594595,1.094594595,1.081081081,0.695945946,0.810810811,0.75,0.783783784,0.810810811,0.777027027,0.864864865,0.810810811,0.804054054,0.817567568,0.75,0.824324324,1.148648649,0.810810811,1.202702703,0.783783784,1.27027027,0.790540541,1.317567568,0.817567568,1.263513514,0.831081081,1.202702703,0.824324324,0.831081081,1.297297297,0.885135135,1.263513514,0.952702703,1.243243243,0.993243243,1.256756757,1.040540541,1.243243243,1.108108108,1.27027027,1.162162162,1.297297297,1.108108108,1.344594595,1.040540541,1.378378378,0.993243243,1.385135135,0.945945946,1.378378378,0.885135135,1.344594595,0.864864865,1.304054054,0.945945946,1.297297297,0.993243243,1.304054054,1.040540541,1.297297297,1.128378378,1.297297297,1.040540541,1.297297297,0.993243243,1.310810811,0.945945946,1.297297297,1
002.jpg,0.521428571,1.064285714,0.535714286,1.185714286,0.557142857,1.307142857,0.578571429,1.421428571,0.621428571,1.521428571,0.692857143,1.6,0.785714286,1.65,0.892857143,1.692857143,1.014285714,1.707142857,1.142857143,1.692857143,1.257142857,1.65,1.35,1.592857143,1.421428571,1.507142857,1.457142857,1.407142857,1.478571429,1.285714286,1.492857143,1.171428571,1.507142857,1.042857143,0.578571429,0.821428571,0.621428571,0.735714286,0.714285714,0.685714286,0.814285714,0.678571429,0.921428571,0.707142857,1.078571429,0.728571429,1.178571429,0.692857143,1.285714286,0.7,1.378571429,0.742857143,1.428571429,0.828571429,1,0.828571429,1,0.871428571,1,0.914285714,1,0.964285714,0.907142857,1.085714286,0.957142857,1.1,1.007142857,1.107142857,1.05,1.1,1.1,1.085714286,0.7,0.914285714,0.75,0.9,0.8,0.885714286,0.857142857,0.885714286,0.8,0.9,0.757142857,0.914285714,1.142857143,0.892857143,1.2,0.885714286,1.257142857,0.9,1.314285714,0.921428571,1.25,0.914285714,1.2,0.907142857,0.821428571,1.35,0.892857143,1.278571429,0.957142857,1.242857143,1.007142857,1.257142857,1.057142857,1.242857143,1.121428571,1.278571429,1.192857143,1.335714286,1.128571429,1.378571429,1.064285714,1.407142857,1.007142857,1.414285714,0.957142857,1.407142857,0.892857143,1.392857143,0.857142857,1.342857143,0.957142857,1.307142857,1.007142857,1.307142857,1.057142857,1.307142857,1.15,1.335714286,1.057142857,1.328571429,1.007142857,1.335714286,0.957142857,1.335714286,1
003.jpg,0.496503497,0.944055944,0.51048951,1.076923077,0.531468531,1.202797203,0.552447552,1.328671329,0.601398601,1.447552448,0.678321678,1.538461538,0.769230769,1.608391608,0.881118881,1.664335664,1.006993007,1.685314685,1.125874126,1.664335664,1.237762238,1.601398601,1.328671329,1.524475524,1.391608392,1.433566434,1.426573427,1.321678322,1.447552448,1.202797203,1.468531469,1.083916084,1.482517483,0.958041958,0.566433566,0.762237762,0.622377622,0.685314685,0.727272727,0.657342657,0.832167832,0.664335664,0.937062937,0.692307692,1.076923077,0.713286713,1.181818182,0.685314685,1.286713287,0.685314685,1.384615385,0.72027972,1.440559441,0.804195804,1.006993007,0.811188811,1.006993007,0.867132867,1.006993007,0.916083916,1.013986014,0.979020979,0.909090909,1.083916084,0.958041958,1.097902098,1.006993007,1.111888112,1.048951049,1.097902098,1.097902098,1.090909091,0.692307692,0.86013986,0.748251748,0.846153846,0.804195804,0.839160839,0.86013986,0.846153846,0.804195804,0.86013986,0.748251748,0.86013986,1.146853147,0.86013986,1.202797203,0.853146853,1.258741259,0.867132867,1.307692308,0.888111888,1.251748252,0.881118881,1.195804196,0.874125874,0.818181818,1.328671329,0.888111888,1.27972028,0.958041958,1.251748252,1.006993007,1.265734266,1.055944056,1.251748252,1.118881119,1.27972028,1.181818182,1.321678322,1.118881119,1.370629371,1.062937063,1.405594406,1.006993007,1.405594406,0.951048951,1.398601399,0.881118881,1.377622378,0.853146853,1.328671329,0.958041958,1.314685315,1.006993007,1.321678322,1.055944056,1.314685315,1.146853147,1.321678322,1.055944056,1.314685315,1.006993007,1.328671329,0.958041958,1.321678322,1
004.jpg,0.513157895,0.888157895,0.526315789,1.019736842,0.559210526,1.144736842,0.585526316,1.263157895,0.631578947,1.381578947,0.710526316,1.480263158,0.796052632,1.559210526,0.901315789,1.625,1.013157895,1.644736842,1.125,1.618421053,1.223684211,1.546052632,1.309210526,1.467105263,1.375,1.368421053,1.414473684,1.25,1.434210526,1.131578947,1.460526316,1.006578947,1.473684211,0.875,0.572368421,0.756578947,0.631578947,0.684210526,0.730263158,0.664473684,0.828947368,0.671052632,0.934210526,0.697368421,1.065789474,0.710526316,1.164473684,0.684210526,1.263157895,0.671052632,1.361842105,0.690789474,1.421052632,0.763157895,1,0.796052632,1,0.855263158,1.006578947,0.921052632,1.006578947,0.993421053,0.907894737,1.078947368,0.953947368,1.092105263,1.006578947,1.105263158,1.046052632,1.092105263,1.092105263,1.078947368,0.697368421,0.842105263,0.75,0.828947368,0.802631579,0.815789474,0.855263158,0.828947368,0.802631579,0.842105263,0.75,0.848684211,1.131578947,0.828947368,1.184210526,0.822368421,1.243421053,0.828947368,1.296052632,0.842105263,1.236842105,0.848684211,1.184210526,0.842105263,0.835526316,1.309210526,0.901315789,1.269736842,0.960526316,1.243421053,1.006578947,1.256578947,1.052631579,1.243421053,1.111842105,1.263157895,1.171052632,1.296052632,1.111842105,1.355263158,1.059210526,1.381578947,1.006578947,1.394736842,0.960526316,1.388157895,0.901315789,1.361842105,0.875,1.309210526,0.960526316,1.302631579,1.006578947,1.302631579,1.052631579,1.296052632,1.131578947,1.302631579,1.052631579,1.302631579,1.006578947,1.315789474,0.960526316,1.309210526,1
005.jpg,0.517241379,0.951724138,0.531034483,1.082758621,0.55862069,1.206896552,0.586206897,1.331034483,0.627586207,1.44137931,0.703448276,1.537931034,0.793103448,1.613793103,0.896551724,1.675862069,1.013793103,1.696551724,1.131034483,1.668965517,1.234482759,1.6,1.331034483,1.517241379,1.4,1.420689655,1.434482759,1.310344828,1.462068966,1.186206897,1.482758621,1.062068966,1.496551724,0.931034483,0.55862069,0.779310345,0.613793103,0.696551724,0.710344828,0.662068966,0.820689655,0.668965517,0.924137931,0.696551724,1.068965517,0.703448276,1.179310345,0.675862069,1.289655172,0.668965517,1.393103448,0.696551724,1.448275862,0.786206897,1,0.786206897,1,0.855172414,1,0.917241379,1,0.993103448,0.903448276,1.089655172,0.951724138,1.103448276,1,1.117241379,1.048275862,1.103448276,1.096551724,1.089655172,0.675862069,0.84137931,0.731034483,0.806896552,0.793103448,0.8,0.855172414,0.827586207,0.793103448,0.84137931,0.731034483,0.848275862,1.151724138,0.827586207,1.213793103,0.8,1.275862069,0.806896552,1.331034483,0.84137931,1.275862069,0.848275862,1.213793103,0.84137931,0.820689655,1.337931034,0.889655172,1.289655172,0.951724138,1.255172414,1.006896552,1.268965517,1.055172414,1.248275862,1.124137931,1.275862069,1.186206897,1.317241379,1.124137931,1.379310345,1.062068966,1.413793103,1.006896552,1.420689655,0.951724138,1.413793103,0.882758621,1.393103448,0.862068966,1.337931034,0.951724138,1.317241379,1.006896552,1.317241379,1.055172414,1.310344828,1.151724138,1.324137931,1.055172414,1.324137931,1.006896552,1.337931034,0.951724138,1.331034483,1
006.jpg,0.493333333,0.92,0.506666667,1.046666667,0.533333333,1.173333333,0.56,1.293333333,0.6,1.406666667,0.673333333,1.5,0.766666667,1.573333333,0.88,1.64,1,1.653333333,1.113333333,1.633333333,1.213333333,1.56,1.3,1.48,1.366666667,1.386666667,1.4,1.273333333,1.426666667,1.16,1.446666667,1.046666667,1.466666667,0.92,0.56,0.766666667,0.62,0.693333333,0.72,0.666666667,0.82,0.673333333,0.926666667,0.7,1.08,0.713333333,1.18,0.693333333,1.273333333,0.686666667,1.366666667,0.713333333,1.42,0.786666667,1.006666667,0.786666667,1.006666667,0.853333333,1.006666667,0.92,1.006666667,0.993333333,0.9,1.08,0.953333333,1.093333333,1,1.106666667,1.046666667,1.093333333,1.093333333,1.08,0.673333333,0.826666667,0.733333333,0.8,0.793333333,0.793333333,0.84,0.813333333,0.786666667,0.826666667,0.733333333,0.833333333,1.146666667,0.82,1.2,0.8,1.26,0.806666667,1.306666667,0.84,1.26,0.833333333,1.2,0.833333333,0.806666667,1.313333333,0.873333333,1.266666667,0.946666667,1.24,1,1.253333333,1.046666667,1.24,1.12,1.273333333,1.173333333,1.313333333,1.113333333,1.366666667,1.046666667,1.4,0.993333333,1.406666667,0.933333333,1.4,0.866666667,1.366666667,0.846666667,1.32,0.94,1.293333333,0.993333333,1.3,1.046666667,1.293333333,1.14,1.32,1.046666667,1.313333333,0.993333333,1.326666667,0.94,1.32,1
007.jpg,0.503267974,0.895424837,0.516339869,1.026143791,0.535947712,1.156862745,0.568627451,1.281045752,0.614379085,1.392156863,0.68627451,1.496732026,0.777777778,1.575163399,0.882352941,1.647058824,1,1.660130719,1.117647059,1.640522876,1.222222222,1.568627451,1.307189542,1.490196078,1.379084967,1.392156863,1.411764706,1.274509804,1.437908497,1.150326797,1.464052288,1.026143791,1.483660131,0.895424837,0.555555556,0.758169935,0.620915033,0.68627451,0.718954248,0.666666667,0.823529412,0.679738562,0.934640523,0.699346405,1.078431373,0.712418301,1.183006536,0.692810458,1.281045752,0.679738562,1.37254902,0.699346405,1.431372549,0.764705882,1.006535948,0.784313725,1.006535948,0.85620915,1.006535948,0.928104575,1.006535948,1.006535948,0.901960784,1.08496732,0.947712418,1.098039216,1,1.117647059,1.052287582,1.098039216,1.091503268,1.078431373,0.679738562,0.836601307,0.732026144,0.823529412,0.790849673,0.810457516,0.843137255,0.816993464,0.790849673,0.830065359,0.732026144,0.836601307,1.150326797,0.816993464,1.209150327,0.816993464,1.261437908,0.823529412,1.31372549,0.843137255,1.254901961,0.843137255,1.202614379,0.830065359,0.810457516,1.326797386,0.875816993,1.281045752,0.941176471,1.248366013,1,1.267973856,1.052287582,1.248366013,1.117647059,1.274509804,1.176470588,1.31372549,1.117647059,1.366013072,1.052287582,1.405228758,1,1.411764706,0.941176471,1.405228758,0.869281046,1.37254902,0.849673203,1.326797386,0.941176471,1.307189542,1,1.31372549,1.052287582,1.307189542,1.137254902,1.320261438,1.052287582,1.320261438,1,1.333333333,0.941176471,1.320261438,1
008.jpg,0.52,0.913333333,0.533333333,1.046666667,0.56,1.173333333,0.593333333,1.293333333,0.64,1.406666667,0.706666667,1.506666667,0.786666667,1.586666667,0.886666667,1.653333333,1.006666667,1.673333333,1.126666667,1.653333333,1.226666667,1.58,1.32,1.5,1.393333333,1.4,1.433333333,1.286666667,1.46,1.166666667,1.486666667,1.04,1.506666667,0.906666667,0.566666667,0.78,0.626666667,0.693333333,0.733333333,0.673333333,0.84,0.68,0.946666667,0.706666667,1.073333333,0.713333333,1.18,0.686666667,1.28,0.673333333,1.386666667,0.693333333,1.446666667,0.773333333,1.006666667,0.786666667,1,0.853333333,1,0.92,1,1,0.9,1.08,0.946666667,1.1,1,1.113333333,1.053333333,1.1,1.1,1.086666667,0.686666667,0.826666667,0.74,0.806666667,0.8,0.8,0.853333333,0.82,0.793333333,0.826666667,0.74,0.833333333,1.16,0.82,1.206666667,0.793333333,1.266666667,0.8,1.326666667,0.826666667,1.266666667,0.826666667,1.213333333,0.826666667,0.82,1.326666667,0.873333333,1.273333333,0.94,1.24,0.993333333,1.253333333,1.046666667,1.24,1.12,1.273333333,1.186666667,1.313333333,1.12,1.38,1.053333333,1.42,1,1.426666667,0.94,1.42,0.873333333,1.386666667,0.853333333,1.326666667,0.94,1.286666667,0.993333333,1.293333333,1.046666667,1.286666667,1.146666667,1.32,1.053333333,1.346666667,1,1.353333333,0.94,1.346666667,1
009.jpg,0.506666667,0.8,0.526666667,0.933333333,0.553333333,1.06,0.58,1.193333333,0.626666667,1.313333333,0.706666667,1.42,0.793333333,1.513333333,0.9,1.6,1.013333333,1.62,1.12,1.6,1.226666667,1.513333333,1.313333333,1.426666667,1.393333333,1.32,1.433333333,1.2,1.46,1.073333333,1.486666667,0.946666667,1.506666667,0.806666667,0.56,0.726666667,0.626666667,0.66,0.733333333,0.653333333,0.833333333,0.666666667,0.94,0.693333333,1.073333333,0.7,1.18,0.673333333,1.28,0.653333333,1.386666667,0.666666667,1.453333333,0.733333333,1.006666667,0.76,1,0.846666667,1,0.933333333,1,1.02,0.9,1.08,0.946666667,1.093333333,1,1.113333333,1.053333333,1.1,1.1,1.08,0.686666667,0.813333333,0.74,0.806666667,0.8,0.793333333,0.846666667,0.793333333,0.8,0.813333333,0.74,0.82,1.153333333,0.8,1.206666667,0.793333333,1.266666667,0.8,1.32,0.813333333,1.266666667,0.813333333,1.206666667,0.813333333,0.826666667,1.3,0.88,1.266666667,0.946666667,1.246666667,1,1.266666667,1.053333333,1.246666667,1.126666667,1.273333333,1.186666667,1.286666667,1.126666667,1.346666667,1.06,1.38,1,1.386666667,0.94,1.38,0.88,1.346666667,0.853333333,1.306666667,0.94,1.3,1,1.313333333,1.06,1.3,1.153333333,1.293333333,1.06,1.3,1,1.313333333,0.94,1.3,1
