,target,face_width,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
0,1,146,145,145,118,55,11,52,5,28,49,26,5,25,5,53,20
1,1,142,141,141,114,55,12,54,5,28,48,25,6,25,7,49,21
2,1,144,138,138,90,48,20,49,7,27,39,22,4,24,5,52,24
3,1,147,141,141,106,53,15,52,5,27,43,24,3,23,5,52,22
4,1,149,146,146,115,55,14,54,6,28,47,24,4,25,4,51,23
5,1,150,142,142,108,53,17,55,5,28,48,26,6,26,7,53,25
6,1,148,146,146,110,55,15,51,4,29,48,25,5,24,6,55,25
7,1,152,150,150,117,58,14,54,5,29,51,25,4,25,4,56,25
8,1,150,148,148,114,57,16,56,6,30,49,25,4,25,5,55,28
9,1,145,150,150,123,57,11,57,7,30,53,24,3,25,3,54,21
10,2,134,128,128,87,45,20,47,7,22,41,25,8,24,8,54,17
11,2,128,120,120,81,41,19,44,7,21,38,23,7,23,6,50,19
12,2,140,132,132,91,46,23,49,7,25,43,26,9,26,9,55,17
13,2,139,127,127,100,47,18,48,4,24,46,25,9,26,9,53,17
14,2,136,126,126,85,45,21,47,8,23,41,25,7,25,8,54,16
15,2,133,127,127,81,43,21,46,7,23,40,24,8,25,7,53,17
16,2,133,126,126,85,45,20,47,7,23,40,25,8,24,8,55,15
17,2,133,127,127,88,44,19,47,7,22,41,25,8,25,8,53,18
18,2,137,127,127,98,43,17,47,5,24,44,25,9,25,8,52,15
19,2,131,123,123,91,44,18,45,6,23,43,25,8,24,8,51,17
20,3,206,195,195,168,66,14,63,7,36,70,35,12,35,11,74,28
21,3,183,182,182,137,60,16,58,6,30,58,32,8,32,8,72,30
22,3,188,183,183,139,61,17,58,8,35,61,33,10,33,9,84,31
23,3,209,205,205,151,68,18,66,7,37,67,38,9,36,9,91,28
24,3,210,208,208,153,68,17,67,7,35,66,37,10,38,11,88,34
25,3,200,197,197,147,60,17,62,8,33,62,33,5,34,6,81,35
26,3,188,188,188,130,62,19,60,7,32,59,35,12,35,12,82,32
27,3,190,182,182,138,56,16,59,8,34,62,32,9,33,9,80,34
28,3,206,198,198,148,63,20,64,7,35,63,36,11,36,10,80,38
29,3,203,201,201,141,66,19,65,7,35,64,36,10,36,10,88,29
30,4,186,182,182,108,55,26,59,7,31,52,34,10,35,9,77,44
31,4,180,179,179,107,56,27,59,9,31,52,34,9,33,9,77,37
32,4,183,178,178,112,56,25,59,9,31,56,34,9,34,10,73,38
33,4,181,179,179,101,54,26,58,8,31,51,33,9,33,7,80,41
34,4,181,179,179,105,55,27,59,8,30,51,33,10,33,9,76,43
35,4,181,178,178,106,56,25,57,7,30,51,34,9,33,9,75,43
36,4,177,176,176,101,55,27,58,7,30,51,33,10,33,9,75,36
37,4,183,180,180,110,54,26,58,7,31,51,34,10,34,10,74,43
38,4,182,176,176,105,54,27,58,8,29,53,33,10,34,9,72,43
