,target,face_width,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
0,1,169,159,159,122,58,21,63,6,34,49,29,8,30,9,67,32
1,1,130,125,125,105,47,14,49,7,26,45,24,7,25,7,48,15
2,1,170,165,165,140,60,13,61,6,34,61,34,12,34,12,59,23
3,1,173,163,163,133,58,16,61,7,33,59,33,11,32,10,60,28
4,1,150,149,149,129,54,9,54,6,29,55,28,11,29,11,49,18
5,1,180,165,165,140,59,15,63,7,35,62,32,9,31,9,63,34
6,1,178,182,182,138,66,18,65,9,38,62,34,12,33,12,66,20
7,1,189,188,188,156,77,21,78,11,41,74,35,9,34,8,62,28
8,2,129,125,125,87,43,18,46,6,22,41,24,7,24,7,52,15
9,2,150,139,139,124,52,14,53,5,27,52,27,8,27,8,58,19
10,2,115,111,111,86,38,15,41,5,22,40,20,8,21,9,42,18
11,3,214,205,205,160,67,18,64,7,37,68,37,9,37,11,89,41
12,3,151,145,145,123,45,8,45,5,25,50,26,9,26,9,53,27
13,3,118,122,122,99,40,6,40,6,23,44,23,7,22,8,46,21
14,4,185,180,180,107,54,26,60,8,31,52,34,10,34,8,77,45
15,4,122,120,120,87,38,12,38,6,23,40,25,7,24,8,55,23
16,4,121,120,120,89,40,10,38,6,22,41,24,9,24,8,50,19
17,4,119,117,117,79,38,11,36,7,21,39,24,8,23,8,50,18
18,5,137,131,131,100,47,13,43,6,28,47,24,6,24,8,48,24
19,5,163,156,156,134,51,14,52,10,34,62,29,10,31,11,53,30
20,5,127,123,123,99,47,16,39,5,23,45,26,9,25,9,40,23
21,6,138,146,146,119,51,13,55,4,29,53,25,4,27,6,48,22
22,6,116,138,138,100,49,12,49,4,32,48,25,3,24,4,46,18
23,6,128,149,149,108,51,13,55,4,29,51,26,5,27,5,48,18
24,7,107,105,105,85,34,11,35,3,20,34,20,8,19,7,38,16
25,7,100,102,102,84,33,8,36,4,22,35,17,5,18,5,40,12
26,7,109,112,112,85,36,11,38,4,21,36,21,6,20,6,42,15
27,7,104,95,95,85,28,6,35,6,17,35,15,6,17,6,30,17
28,8,129,131,131,113,46,8,43,7,26,46,26,7,25,6,50,16
29,8,118,120,120,96,40,10,38,4,25,39,21,5,21,5,54,24
30,9,93,95,95,76,33,9,32,4,19,34,18,5,18,6,34,14
31,9,101,92,92,79,27,9,28,5,21,34,16,2,16,2,41,21
32,9,92,94,94,69,32,9,29,5,19,32,17,4,17,5,35,16
33,10,110,107,107,83,38,10,38,5,19,38,20,7,20,7,37,22
34,10,103,97,97,73,34,11,33,4,18,34,19,5,18,6,36,20
35,10,103,97,97,83,35,8,32,4,18,37,20,7,18,7,35,14
36,11,88,96,96,81,33,4,34,5,20,33,18,6,17,6,38,16
37,11,96,101,101,85,34,5,36,4,19,32,18,7,19,6,37,17
38,11,85,90,90,75,28,4,33,5,17,30,16,5,17,5,31,16
39,12,96,95,95,78,34,8,33,6,23,39,18,6,18,6,38,12
40,12,101,94,94,78,32,9,35,7,24,40,18,7,18,6,39,13
41,12,113,100,100,85,35,11,37,10,25,43,19,6,20,6,38,14
42,13,106,108,108,80,35,11,37,4,19,30,19,6,20,6,38,18
43,13,84,100,100,69,33,8,32,4,20,30,19,5,18,5,40,11
44,13,105,107,107,73,37,13,36,6,19,32,21,6,20,6,35,21
45,14,117,119,119,98,41,7,39,5,21,39,25,10,23,10,45,25
46,14,106,116,116,71,39,11,36,4,22,34,23,9,23,9,46,23
47,14,140,152,152,113,52,9,51,4,29,48,29,11,30,12,58,28
48,15,104,117,117,99,39,6,37,6,29,40,18,2,19,2,57,26
49,15,115,114,114,93,37,10,40,6,23,41,21,7,20,7,33,17
50,16,120,112,112,100,40,10,35,6,24,46,22,9,22,8,36,17
51,17,83,85,85,66,32,8,26,5,18,29,16,3,15,3,31,15
52,18,99,104,104,80,37,8,39,4,20,36,18,7,18,6,32,17
53,19,90,97,97,87,35,3,33,7,21,38,20,7,19,6,37,11
54,20,131,142,142,105,45,10,50,10,31,50,25,5,25,4,51,14
55,20,140,136,136,103,43,15,45,5,29,44,24,4,24,4,61,26
56,0,142,142,142,125,51,11,45,3,30,50,28,7,26,8,49,20
57,0,138,127,127,107,47,15,50,5,27,47,24,8,24,8,50,23
