,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5,dct_6,dct_7,dct_8,dct_9,dct_10,dct_11,dct_12,dct_13,dct_14,dct_15,dct_16,dct_17,dct_18,dct_19,dct_20,dct_21,dct_22,dct_23,dct_24,dct_25,dct_26,dct_27,dct_28,dct_29,dct_30,dct_31,dct_32,dct_33,dct_34,dct_35,dct_36,dct_37,dct_38,dct_39,dct_40,dct_41,dct_42,dct_43,dct_44,dct_45,dct_46,dct_47,dct_48,dct_49,dct_50,dct_51,dct_52,dct_53,dct_54,dct_55,dct_56,dct_57,dct_58,dct_59,dct_60,dct_61,dct_62,dct_63,dct_64,dct_65,dct_66,dct_67,dct_68,dct_69,dct_70,dct_71,dct_72,dct_73,dct_74,dct_75,dct_76,dct_77,dct_78,dct_79,dct_80,dct_81,dct_82,dct_83,dct_84,dct_85,dct_86,dct_87,dct_88,dct_89,dct_90,dct_91,dct_92,dct_93,dct_94,dct_95,dct_96,dct_97,dct_98,dct_99,dct_100,dct_101,dct_102,dct_103,dct_104,dct_105,dct_106,dct_107,dct_108,dct_109,dct_110,dct_111,dct_112,dct_113,dct_114,dct_115,dct_116,dct_117,dct_118,dct_119,dct_120,dct_121,dct_122,dct_123,dct_124,dct_125,dct_126,dct_127,dct_128,dct_129,dct_130,dct_131,dct_132,dct_133,dct_134,dct_135,dct_136,dct_137,dct_138,dct_139,dct_140,dct_141,dct_142,dct_143,dct_144,dct_145,dct_146,dct_147,dct_148,dct_149,dct_150,dct_151,dct_152,dct_153,dct_154,dct_155,dct_156,dct_157,dct_158,dct_159,dct_160,dct_161,dct_162,dct_163,dct_164,dct_165,dct_166,dct_167,dct_168,dct_169,dct_170,dct_171,dct_172,dct_173,dct_174,dct_175,dct_176,dct_177,dct_178,dct_179,dct_180,dct_181,dct_182,dct_183,dct_184,dct_185,dct_186,dct_187,dct_188,dct_189,dct_190,dct_191,dct_192,dct_193,dct_194,dct_195,dct_196,dct_197,dct_198,dct_199,dct_200,dct_201,dct_202,dct_203,dct_204,dct_205,dct_206,dct_207,dct_208,dct_209,dct_210,dct_211,dct_212,dct_213,dct_214,dct_215,dct_216,dct_217,dct_218,dct_219,dct_220,dct_221,dct_222,dct_223,dct_224,target
0,5794.5386,-257.97794,-795.58044,-422.71893,-242.80145,-396.30157,-615.9627,-252.49344,-792.87604,-164.49026,-182.32823,-50.981247,-623.47894,323.9008,49.169285,-585.3547,-158.28552,782.7757,4.8576164,-439.8696,70.42692,253.15237,29.815422,63.276955,28.984425,119.52204,65.56487,-46.040924,-41.70756,-276.60687,-366.74396,-115.50386,322.19397,186.86673,-826.4574,-11.918363,-257.8397,109.398155,226.25342,13.571559,-129.31535,153.77023,196.7673,379.20868,133.89793,-258.79327,2.171409,269.2125,-40.541016,728.31494,-210.54866,196.0473,-220.99843,-175.7135,26.96657,-229.16304,36.479046,-293.27374,80.33259,-402.6043,-174.03047,-50.469913,-2.9529023,402.97037,-202.46455,-23.525383,-179.70209,163.25046,-123.431984,41.72262,193.96494,-254.9238,54.269302,73.98127,-77.24245,705.49713,-193.05391,-290.9929,-74.84871,-498.126,3.0927331,173.51775,96.70288,23.633877,87.16127,-147.4076,4.5679727,-35.651592,-79.06011,111.16129,504.87204,162.49936,-285.71323,-1.2055403,-156.08339,182.88615,-9.754993,-103.41077,15.245669,-72.951035,-183.29765,-60.08594,79.04452,70.542435,154.76491,81.05788,236.3148,-350.78415,52.60355,83.74986,-50.212627,-25.70199,97.22465,-223.60733,54.344673,366.355,-24.157017,-91.71335,-118.16831,126.890434,49.92337,125.05396,-225.8457,-119.95774,-186.51468,64.79683,449.35516,-190.00319,125.20849,-277.18195,124.27556,-26.071337,108.90028,29.4309,-137.58412,-457.36902,181.54045,-189.96191,38.474144,95.77824,-5.2225976,21.194414,21.06603,260.84296,31.140461,-165.33673,24.13984,-266.39166,51.7373,-138.81757,451.65338,66.72849,-19.02847,-113.295334,-249.31314,77.31151,35.41887,-27.68226,46.184475,-27.541916,132.97629,44.214596,-0.70515823,101.59635,-155.941,74.211586,76.14283,-181.51,-0.17735617,211.62587,-6.2645106,229.57298,-100.441696,-138.81573,-199.94856,0.6269289,129.4229,79.15179,45.494274,348.9663,-123.138306,46.67785,-346.60242,24.852383,344.57785,4.549761,-184.41454,-108.88274,-27.781797,-9.200571,47.70883,119.68346,-147.68071,250.99303,-167.07045,30.847324,68.55456,-2.1060266,6.887624,214.2437,-214.81352,-326.29434,-19.8964,450.42926,37.220387,-118.98933,-75.156624,-149.94781,90.99168,12.216254,95.31766,47.073017,-131.2041,114.79364,101.25381,9.870947,172.96684,-1.6748976,-94.2351,-8.466352,-115.85965,-29.954393,85.74054,92.05307,-2.396995,1.0
1,4768.9473,1.7902085,-725.5952,201.55397,-603.548,-67.02924,-829.9845,-4.653507,-836.7932,-273.87875,-380.55118,-18.756033,-483.5276,100.26828,-180.0302,-744.44666,-240.65785,773.4635,132.59229,368.2618,166.62416,-183.86887,-5.037458,100.94938,-46.585934,-220.1718,116.89067,-205.13045,41.56509,-13.492151,-272.70435,271.85114,-555.74347,7.892923,15.222237,172.75726,87.78513,-154.70831,613.9681,-53.063168,276.3516,-154.35384,297.77682,-160.94264,-91.51313,126.10408,-206.3733,-214.39091,209.36644,539.65936,98.17636,-553.9708,-181.91017,-111.11572,-29.32309,-70.96138,34.462254,388.34616,364.79593,259.2245,-13.389144,-246.73828,236.12128,202.13243,281.30432,-282.59158,-84.175896,264.27133,-156.4207,-0.32529452,-196.67064,114.17827,-468.66806,75.71307,10.196841,984.0607,238.93143,-628.2312,-11.176406,-611.4503,22.041594,58.472992,-89.53323,385.68765,-145.89719,159.94397,39.81537,69.41536,-124.85972,-120.88397,1006.77136,-263.29053,-895.78174,-182.0482,-131.69882,294.56747,-90.99129,-120.49538,62.488136,336.6903,130.89377,183.56517,284.8257,147.74062,86.68907,467.4934,167.3674,-124.57928,226.44304,308.3469,-68.66756,-268.536,-216.35365,-62.166935,-145.18022,-110.33935,-72.22114,-206.59981,39.501,-18.315472,-91.41292,-109.612785,33.169712,-155.15701,-45.493183,49.70549,-107.19121,163.10385,80.07309,59.868916,53.78008,49.441765,173.85085,-41.242622,28.024061,68.81344,12.36127,25.221678,90.78514,-225.37228,93.05392,147.8543,50.54393,135.85468,-32.705692,-138.41164,-174.26611,-180.45857,-72.000496,35.27569,280.66562,-64.96959,11.156177,182.23935,-175.97934,140.65486,36.093464,-170.29515,-67.27207,-139.77423,11.674434,-100.410286,-159.61255,94.010315,-149.11302,26.202532,140.69682,101.01152,42.308933,-7.2998233,-109.1973,-75.652016,-54.755955,-121.51075,24.566837,148.05386,-128.37247,116.20283,-45.879265,-138.19241,-25.167841,-57.502373,21.153593,-156.8186,301.60687,194.73383,-42.13573,-53.677505,-115.3738,102.546364,-385.20792,45.02309,-51.286476,-14.973831,117.47566,285.51212,181.74791,-234.87833,-69.9152,-141.68906,-28.072851,102.96737,-167.18077,-139.24808,20.205017,67.279396,-1.9413532,98.93363,72.137146,24.056015,45.169044,6.027652,-10.974684,14.651709,-65.47609,86.00812,128.67615,99.44681,73.752914,73.77196,-25.590668,-287.49,-67.86622,-103.13781,-134.26738,1.0
2,5551.8413,-247.32477,-120.5854,-757.45526,195.90889,-162.94704,245.69931,-244.25298,-305.96265,-156.89485,54.28185,-276.1254,-100.25837,-243.1678,-163.10025,-929.6311,696.9734,988.3756,251.16592,29.433254,164.87665,340.73386,-334.44638,-57.721096,-297.33783,403.85626,-408.04263,259.1916,-210.45888,100.11261,-499.06366,-181.75734,224.87914,-120.30805,-776.89655,-58.291214,-130.95891,212.36723,478.33136,259.43576,-136.91293,474.63037,126.40182,151.63995,-24.981367,-1134.9845,184.7829,-73.21774,141.6853,1230.0795,-303.62766,-142.03967,-178.01498,-156.65515,-87.37619,-57.398205,18.768995,-102.342,240.19617,135.09952,-1604.5887,361.00418,201.58444,346.70868,602.839,75.36717,325.1806,114.15507,252.69116,-321.71127,57.799366,-16.056808,-189.22794,-261.77563,-190.96965,588.5884,-243.15253,221.0822,69.15507,-317.64767,-111.40539,-173.47014,145.78003,75.34969,160.20256,-55.459248,-35.315742,273.65198,3.0736709,230.3127,61.886467,-156.10873,-195.21683,82.44825,-205.83952,2.6963415,-384.845,-64.084175,14.87344,85.8849,-226.1876,48.748486,-53.87401,181.47023,199.68425,394.15192,-218.13431,-134.93872,195.30972,260.35464,-106.154205,295.56107,-231.59187,-25.609922,6.994194,242.86295,-127.62114,-192.8302,-95.53833,-394.57343,62.943905,-65.01459,-113.34119,-13.439478,-98.43342,310.43466,400.64893,70.57425,-30.035126,-84.73835,-159.57108,107.97533,74.15361,35.171055,117.915054,-224.6878,27.84105,-178.70354,-123.63273,127.23134,69.2834,-124.24647,82.53896,-107.40246,125.941414,63.370747,-203.25835,-74.69203,37.319706,10.644626,303.3821,-236.7342,279.591,-27.838238,122.14546,-24.030453,112.78883,-134.11244,-214.97859,-31.186775,-204.90483,-106.13642,-41.33015,113.68162,-68.32788,157.52655,28.297697,-65.9614,-152.61064,-215.0985,66.970085,-363.7292,143.95811,76.365685,9.91369,135.7472,-34.661804,183.63037,-143.25221,47.632057,-293.1027,185.9025,196.61984,-105.57767,-69.06199,56.717598,115.02184,70.463356,17.802925,-145.3938,21.392868,213.58348,-202.03412,33.304623,54.850994,258.43878,-29.54385,-132.07286,-114.60647,-32.72689,-28.507719,122.30329,-28.541769,324.70084,-122.21892,-33.629395,-50.76793,64.57345,-173.75468,25.369802,-118.42468,-36.283947,1.0881639,-4.11179,-208.44295,-193.78107,40.163574,98.86551,57.411728,103.0489,51.091022,-98.24853,117.33139,-117.72209,-50.90137,1.0
3,3982.697,-767.5977,2.7724595,-523.34546,-96.90053,177.07315,-705.791,84.431625,-959.61084,39.79071,-139.80861,40.727592,-287.26642,108.520386,15.934385,-166.6091,406.06342,207.6679,473.11447,-819.0027,-189.37491,469.6601,-267.78238,-23.632019,-270.0085,168.22896,75.02941,-247.58449,-14.062692,-207.6447,-902.32275,-34.192932,309.53418,-124.83916,-140.95027,-8.828551,57.2183,473.03934,601.3828,62.61231,60.712,-197.66226,666.8709,-206.4595,-186.90189,-570.60455,-15.224725,-156.28291,141.05968,1173.7538,-152.86218,-348.15164,60.167805,-254.12961,86.345055,-224.40578,103.37833,-27.168694,195.50513,-58.77522,-251.8016,-289.34634,227.0692,88.68438,52.45662,-167.96716,237.5947,-18.982986,129.30693,-240.12775,127.328285,-51.691635,-212.00694,49.99635,-205.85956,897.9507,-197.03293,-210.70015,168.3569,-457.21365,-93.9602,139.2621,111.606895,96.75054,-16.294508,17.535776,-74.36672,366.07608,37.0427,78.83309,276.1321,141.44936,-216.92471,113.0073,-589.0709,-39.960823,310.71756,-104.867096,-9.906781,-116.23893,50.89962,74.81236,-69.831726,35.374985,-141.60626,696.1301,51.33645,-507.72668,-365.16864,418.50482,-22.337856,115.616776,137.85104,-165.81,88.61907,80.7485,283.3625,-168.3621,-271.6747,-51.21056,-348.42368,67.00782,58.169827,278.4964,-0.0035015347,-173.70807,61.591515,-161.54002,9.249905,48.840534,15.4936285,116.84665,101.10173,51.678673,-136.90417,28.533619,-271.9257,349.854,-132.82327,-188.97478,97.97259,-65.56998,-141.33762,349.74277,-115.64247,77.72651,-34.26675,-215.26172,-46.64546,83.00603,474.26056,-99.974266,-61.14585,62.590683,-44.93502,-122.511734,192.30055,-7.1869593,189.43372,-81.41024,-39.110985,36.906384,-31.25218,-122.8122,44.92389,-275.00577,120.8514,-198.97333,76.06139,-8.922485,-120.67808,-110.51486,84.37661,126.66308,223.9126,-264.3753,-75.40816,7.2013597,97.22744,-160.5701,-58.09723,-148.43295,133.3309,-1.5006019,86.52669,164.48589,160.85349,-27.580896,-87.70415,-158.45813,28.790524,-5.246923,122.37083,-112.41564,-133.1374,-133.9595,-139.94998,163.33257,26.168718,404.49716,-16.998777,-179.38557,-143.91719,-206.34138,12.140285,49.80071,16.673964,74.53021,-91.06565,-2.4172494,28.135853,-62.47216,-158.72885,33.529694,103.70999,-72.044075,-35.356003,-27.044361,74.16389,-205.83702,178.90579,93.154106,123.29275,-231.28868,155.10529,1.0
4,4830.46,-605.0469,-453.03262,-426.3637,-181.28612,-284.10318,-299.53278,-275.69675,-470.42538,-567.2449,113.10811,-127.11638,-208.88457,-8.122884,229.33073,-635.78986,-114.67739,918.6668,421.7442,-347.49722,-4.2140975,190.22794,-350.27808,-186.8858,131.20724,-305.44995,-1.6647842,-232.12218,-137.70935,128.05528,-563.41907,371.3531,-425.21152,416.05243,-459.3001,-220.04527,209.94945,-39.91662,288.8652,118.98813,267.2522,149.73076,325.54767,132.22778,-54.615383,-328.81622,-327.34756,124.866806,185.29692,936.91925,-204.86073,-577.5992,-161.15428,-268.41656,196.88557,265.34695,103.803505,163.20926,-73.38092,231.48904,-286.2813,-269.57538,-13.208291,573.96155,173.49571,29.682089,62.464596,26.7215,-310.41476,-226.527,-119.56397,57.676846,-248.85245,-8.724068,62.51442,1198.937,-135.28386,-314.00812,241.6149,-576.67865,-1.4869219,434.56992,-262.5033,256.44745,-134.88072,-99.74142,-36.078682,-81.45978,265.1215,-284.7784,465.09982,-3.3751304,-672.96893,-161.7919,-109.1377,-48.778263,135.48308,10.431726,-125.69303,-11.100103,170.21762,266.55814,254.14928,20.390524,75.535965,294.1284,332.39774,24.399803,-180.62108,56.387142,-195.49722,-253.79596,-94.67297,-120.14454,94.46234,38.68359,116.06166,-86.83669,-144.51802,232.78917,-255.48961,208.44815,82.09858,-25.465317,89.790405,8.2802925,85.83194,11.561268,-134.50607,107.17687,196.25214,-227.93265,-165.02559,-8.611178,-129.73857,-175.70578,2.2520795,-21.293701,-93.90003,4.0849996,-32.56538,-154.28304,-132.69778,250.77498,119.25485,232.20335,-137.81773,31.002274,77.92623,-72.76664,309.38184,51.921497,-187.2421,41.073814,174.45189,36.066578,-134.13843,111.43581,-285.98236,-2.899099,-12.384136,215.7645,50.95636,-18.12061,20.903389,-108.42081,102.85636,-81.461205,-71.31105,-193.23756,-116.51551,7.759835,75.37981,252.03584,-113.987976,-147.24487,35.429955,221.48116,34.86331,-125.834694,-50.47951,21.169493,151.49051,-144.5443,184.92455,-10.700961,-215.25851,72.63706,34.50143,4.2994556,380.58316,-38.449753,-247.06885,54.693405,14.526572,17.546902,30.591625,-192.1348,95.62855,66.439705,158.00436,80.455414,90.53517,-324.22986,-54.38262,78.21802,-10.730293,-42.015415,119.28899,29.68053,27.657444,-165.34616,-124.08473,-125.36163,166.16383,236.30992,-13.570664,-388.65323,149.21104,-57.961,231.52834,-115.148384,-37.148304,113.761894,-171.745,1.0
5,4393.157,-952.64685,25.756577,-625.25494,585.31805,-131.75146,-605.46497,-409.44647,-837.1175,45.370724,-126.3344,3.7885785,-328.57346,57.22312,-107.74896,-214.08594,316.63058,321.78287,-163.82355,-664.1442,6.0997763,222.71896,-171.03693,-126.1145,-22.824919,148.23035,-55.109035,53.158752,-203.50935,127.011856,-544.0333,32.053963,116.09326,20.57859,-59.40209,289.1694,-285.25745,-49.331642,225.161,416.68167,44.81077,200.92017,259.37616,-102.22212,-75.76179,-521.7528,-71.60573,-237.71347,-143.88422,1250.9218,11.528428,-49.230103,114.56866,-179.89331,135.82573,-182.79987,-37.348595,-84.8758,-31.607435,174.72707,-354.17444,-271.23932,190.96204,163.7,-168.561,197.39644,-192.3549,38.538403,-239.04016,133.8613,-7.865953,260.74368,-512.16956,-188.86871,-223.72255,1030.9106,-164.02046,-348.9769,258.9458,-296.30865,-44.229004,376.29404,-112.323944,-25.092566,-28.920902,70.35925,-255.78864,346.54745,-25.320211,121.81213,555.6611,-3.5519638,-295.7447,-292.29532,-252.98825,109.18596,113.13751,-154.83897,46.20918,14.590863,138.43222,2.1578698,-69.5126,-56.97914,24.27626,306.2773,-18.898527,-517.268,-263.55173,433.22903,137.54498,262.10178,-22.866838,-300.80075,-29.20279,172.58983,288.04514,-227.52202,-241.1311,-145.65793,-309.9267,298.98303,207.93533,128.83635,31.690182,229.84076,-149.09001,-244.46193,208.70302,-51.622494,-53.27625,-327.1514,132.15086,-39.25682,237.21979,-236.4001,-231.80484,112.841095,-86.51892,-313.6838,-22.687231,26.561901,-68.00294,124.12271,52.41245,176.22963,-97.574,-61.006317,110.52421,57.117455,478.71188,-26.179281,73.62838,65.748245,-65.72607,76.09766,12.114127,-2.5649083,108.956604,124.39362,-6.657523,-240.64568,-89.94864,-107.92099,-22.577105,-212.28215,257.74414,-83.23215,-90.481964,-94.01707,-115.33484,-110.07848,71.99319,195.84586,14.141906,-32.59123,135.65146,-27.991016,-19.530954,-144.23108,-262.60846,-58.683903,89.35739,-11.960354,138.85645,39.54041,-106.745926,18.095766,-383.5798,139.34686,39.91293,-121.60631,241.92616,-42.491047,-125.59939,-144.93546,15.032699,164.43881,253.93497,320.22318,-40.992226,-87.42423,-27.305855,-95.83856,-7.7979255,109.38497,126.309875,-110.299934,-78.53581,-96.86964,-26.208565,-234.74872,46.22675,-34.514565,-291.93332,-38.615902,96.072395,13.823587,-66.51573,60.28559,-26.527134,-78.393585,187.12057,146.79031,27.223763,1.0
6,5597.697,397.3154,529.9286,-565.44116,324.78802,-45.669365,143.872,-70.129234,-558.74927,204.38304,92.2112,106.46714,-267.62775,134.23758,43.57623,-1257.2566,-150.71513,205.01508,159.9675,-709.2899,-394.36227,-123.23762,-321.63547,-58.21512,-116.63846,571.69727,25.109592,230.54373,140.19574,-4.1037574,-802.8706,-102.635315,261.3821,286.40234,47.98444,156.87346,-227.40709,44.567368,51.172146,-259.68903,-654.8144,-258.73804,-175.54158,-337.26578,80.246605,-1299.611,214.81454,-572.7011,-344.24808,979.5232,-182.93541,252.44052,98.02119,88.899216,377.45648,61.40136,107.81464,-208.50064,-59.255234,-272.82135,19.791395,108.25484,830.02026,175.64195,411.73343,-287.4449,-145.2966,-183.56253,-104.19361,-183.89038,365.40643,205.62216,97.383644,-126.14246,269.88934,192.49551,-311.79535,-771.3107,146.887,-462.69543,120.37806,203.32451,-12.823359,-274.66248,-8.431685,-297.71936,-359.1722,276.32956,-199.07823,120.66125,646.7001,101.10152,20.970366,24.84591,-103.24327,109.351295,-38.736835,170.19919,92.71452,73.64284,150.73479,50.959957,-197.15912,136.7335,-193.83656,537.6677,90.63873,-298.58948,-81.50239,186.41083,-304.4703,233.31215,-194.83188,-525.91345,-96.07122,-77.784325,-15.30489,-344.80023,-109.47513,60.319187,-171.6975,-45.586124,-94.45632,81.39452,-119.290344,349.66214,-145.69008,14.677537,-127.35958,106.8252,87.2805,-170.02016,171.30176,-45.6282,-84.87561,327.06705,114.28411,127.55814,-165.9995,161.86346,11.502712,71.645546,155.73347,-11.475591,70.66831,81.22212,-76.449005,-17.880894,-56.13464,48.395477,80.52492,-100.71066,-61.456203,12.459987,-408.71826,-73.82147,-327.29614,-150.26474,88.93899,-170.59042,265.46674,144.60712,-74.69931,-160.0764,18.972658,265.34888,232.87973,218.5895,-55.653553,-240.08511,-89.886505,-63.9604,-189.64044,-37.802017,82.30457,-97.53255,-258.39532,-112.04653,-12.698444,-73.010376,-386.7096,-32.200436,-141.36523,189.81528,117.28293,-81.88509,156.6757,-56.743484,191.9753,217.01598,171.2849,242.75513,214.1429,150.91759,-42.138367,109.15895,39.15288,-118.08654,-98.23896,191.19849,-61.852814,-22.349339,43.81027,-129.89183,-7.8025856,71.025986,31.130228,-86.936295,-111.42841,-52.721428,-74.77691,-35.49104,-76.400116,111.41714,290.66806,-9.759173,221.09706,-0.15444198,-255.65154,-21.828926,-195.49928,-0.08189721,-53.226067,-113.34348,127.781906,1.0
7,6094.276,421.07224,-267.0127,47.177837,-227.50873,289.2221,-564.6969,525.228,-1022.5833,566.53015,-363.92444,-32.06056,-474.25055,-68.61302,-96.015976,-909.9349,146.7012,679.0612,181.89084,-46.720448,-354.50415,-173.98036,157.79697,131.77342,-30.237999,248.34552,-119.41482,-371.66846,-248.69159,-120.32719,-1117.9338,-419.05164,70.382324,16.671669,-537.57117,-495.60397,298.804,114.965065,401.6079,172.90182,167.83212,375.78635,144.09195,142.36067,89.05403,-879.4056,130.39783,411.34067,208.42682,925.2245,-75.825424,-244.59679,22.832024,-7.6226306,-133.47258,-240.06798,-78.97632,-6.5254846,-141.8844,-195.20583,-521.2262,-28.123426,-123.032394,190.58366,-320.53073,-135.5109,-25.02388,211.57088,44.251194,44.841633,60.725655,-94.960754,-167.98448,-110.909134,-45.330807,1564.7947,-58.28435,-110.0315,308.60764,-259.38535,52.238594,65.38569,-26.219,-82.13032,106.800575,85.69013,367.40723,-54.81269,-33.663174,-194.72305,457.43634,-294.0291,-380.81958,-56.159653,390.7601,-26.182127,-324.97873,-35.66671,-125.81368,-258.90674,109.3543,-108.23274,64.08105,83.69568,376.44534,272.7159,282.22397,-238.9202,-82.12549,-171.63864,-82.72579,-150.24158,0.014001001,73.65758,-127.718216,-23.912209,122.93549,56.419613,-37.83149,484.3905,99.18654,-199.01479,269.85736,213.20274,-122.93156,-9.969182,144.80603,-60.55065,44.824417,92.500114,61.821304,89.93251,160.52496,-91.24177,-501.51297,106.735565,-161.34146,-210.23001,-110.88327,-424.96692,90.244576,-139.40742,49.1966,263.38693,-130.69226,144.86015,241.01904,98.810844,23.796387,64.62632,-151.54701,160.35803,-16.392912,236.84566,16.618374,-58.470993,49.230698,73.513466,-182.85635,-107.54003,152.17432,-79.144226,-235.98386,86.80439,6.2229652,-140.15073,-43.85557,103.138794,109.21956,71.257164,-302.08752,-122.677376,2.2672946,326.828,-80.44536,-160.3119,84.86614,-228.3122,-49.05505,-13.237021,-44.39736,-34.048218,-81.13048,-52.370735,89.66068,74.659424,-85.066444,142.42433,286.72702,-48.075542,-127.14518,23.907467,5.7289844,-6.6374674,21.441317,247.13922,-233.97989,-376.82336,134.55278,182.10724,211.8817,24.44439,-5.659628,-112.6723,-44.130848,15.49004,62.115746,112.36964,-263.27283,-24.063107,94.37851,-72.04798,38.324,15.828751,-170.88374,50.985714,16.342152,-218.38881,-238.23053,144.00418,238.022,-12.688643,125.70337,28.692875,14.654741,1.0
8,4541.907,0.05594338,-332.9174,206.57204,-370.40314,247.72755,-378.01093,-36.897327,-505.06226,-107.64053,-392.38644,49.297676,-291.95142,153.0697,-106.08738,-162.12213,-64.29678,829.14,93.79804,-585.47894,182.69632,-279.0326,44.779995,-156.9673,-141.34125,42.846775,-42.53293,-67.951,-170.01317,-210.94504,-1223.3159,168.42366,-413.94067,41.43641,-307.99115,-258.2255,-156.39815,-211.70493,205.7827,-56.597973,163.58827,-249.73628,368.18146,63.5058,271.0549,164.67601,-61.128098,730.5751,2.35308,494.8144,196.38223,-456.86127,91.370316,-44.63919,-200.92194,-154.37813,-87.42071,-4.610521,103.81176,128.93442,261.29938,26.140299,-206.04463,-101.84666,-79.582344,-82.67841,256.53897,196.95877,-33.541275,198.86806,-70.45597,11.999542,-34.75472,69.5823,340.00494,651.7,72.71828,-860.0271,-94.40652,-940.4322,-151.88245,321.13474,-46.844635,-61.51692,-50.837402,-75.967995,-46.106133,207.98741,-212.12706,-77.01654,321.6565,-82.93852,-152.61876,-74.32353,125.2989,48.063034,-223.81808,-68.36123,-58.871597,110.37585,120.23142,-139.45462,2.0250611,-51.08898,17.725777,231.86345,125.68176,-393.21216,1.5779192,27.823832,-42.509884,192.26855,61.83386,330.76028,69.13674,82.92564,111.48287,-52.97723,80.536804,266.71457,239.89792,140.37311,-193.33733,-61.625656,-60.167534,-159.70961,59.707417,62.589287,71.68549,69.69533,-3.955424,149.54848,239.18024,-59.18078,-194.5456,75.47261,-60.536846,3.047275,-61.84249,-53.59887,-172.31847,-37.099113,10.668016,-148.07802,-18.585215,157.93333,-19.644056,131.74457,-99.32828,-76.76141,-39.56069,47.334503,-242.18152,123.65822,18.78565,109.37526,-64.57993,-136.6728,42.515995,-107.06022,280.96127,-162.90292,-185.4089,57.86554,66.29884,63.559105,129.06078,77.966736,57.71066,-4.9651103,12.547183,194.5557,10.717564,160.5259,34.257824,-369.17517,-63.764362,-4.6638103,93.46362,65.97962,79.1871,-78.347534,-102.67749,-65.31822,106.57002,76.98016,242.03584,-47.724934,-159.57591,5.6470065,115.96862,-12.979793,127.94531,114.61594,-296.30136,203.51111,42.936047,-259.5294,-20.86832,148.35313,-23.474367,-268.3502,78.21404,-46.271603,-174.94135,240.79837,-74.86812,-120.02054,-87.31513,-34.514503,280.03986,-43.70069,-165.81651,-80.18743,-137.29033,66.44332,-24.749931,136.37836,348.13947,-7.9301763,-132.3486,29.16372,-347.71637,-139.3218,30.64686,2.0
9,5425.46,28.316454,335.76526,379.1114,-18.643438,337.67575,-212.3458,299.66852,-273.77432,208.13853,-203.41962,260.95862,-157.43977,144.85536,-181.23828,-534.9,-14.5589695,915.9934,68.44839,-483.07697,134.50829,127.97712,268.7378,-146.20062,249.24486,106.15826,185.81729,-155.98308,146.49086,-160.42426,-1273.5084,-6.8887343,180.55997,-234.07954,-271.39944,-82.659294,-173.44716,-363.779,625.2238,-288.4329,60.307816,-159.24376,320.87573,-77.412025,161.76212,-823.8486,209.2557,367.98004,88.20462,653.8635,237.77322,-400.76547,130.14561,-112.171265,-88.27132,-147.35368,-58.11432,-125.65397,-93.454185,122.30718,566.7549,-5.7214575,351.7751,-312.51605,81.644516,-197.43207,649.8297,211.61845,-111.82803,13.605184,-237.21565,83.83605,-98.982895,15.316351,-358.5252,897.776,128.84627,-637.0746,151.05797,-819.82367,-36.670044,214.513,-153.45906,155.69661,45.762444,-69.40425,51.3125,82.58532,-61.725914,233.31404,244.45135,121.000275,-88.57641,-167.32498,101.71254,-10.4509735,-255.8507,202.86307,-246.80699,41.960644,11.921443,73.34875,-233.97162,-35.674717,7.369774,103.185776,34.24605,9.390115,-33.336468,53.590096,132.57376,-88.28522,-41.077328,130.15622,-197.1679,-106.30411,-150.39516,-202.29555,-208.25305,124.030304,-164.04614,232.54851,272.42224,46.31572,-366.57047,54.224045,-278.96942,3.6015775,282.7638,87.31231,-8.584901,59.313587,232.93561,230.02638,25.296238,124.13048,53.48889,-153.69952,-16.055893,-17.533522,-137.72668,171.41978,-5.2174788,-219.90802,-176.59753,341.47797,55.54228,-35.303276,30.985792,-178.5841,-116.696205,24.390003,206.21565,49.44413,-185.93413,114.93581,39.31136,86.55122,62.339798,94.66916,-423.2079,-60.229893,-94.3544,-166.45511,179.07823,123.34403,-145.08557,-165.87025,-117.94926,-140.52933,-160.99539,81.955734,-165.96262,1.7237782,-109.099434,-192.3377,-160.85912,429.68768,21.426273,14.0781765,160.28288,90.18658,10.946042,267.31735,107.59299,118.78402,-41.75297,-71.74783,-337.99078,4.1394253,-16.545767,16.354591,-210.7099,-97.1031,245.09918,-55.595825,33.712563,81.65808,-97.245674,-4.5336514,-63.35324,-157.14323,75.6563,97.681206,168.47084,-78.930725,-142.75482,17.122046,-26.11422,154.66582,212.23856,38.60638,-162.66805,80.662544,-25.797792,19.70331,143.52328,52.172615,-261.04785,12.256221,-56.845444,36.772827,100.577415,-54.817333,28.736835,2.0
