,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5,dct_6,dct_7,dct_8,dct_9,dct_10,dct_11,dct_12,dct_13,dct_14,dct_15,dct_16,dct_17,dct_18,dct_19,dct_20,dct_21,dct_22,dct_23,dct_24,dct_25,dct_26,dct_27,dct_28,dct_29,dct_30,dct_31,dct_32,dct_33,dct_34,dct_35,dct_36,dct_37,dct_38,dct_39,dct_40,dct_41,dct_42,dct_43,dct_44,dct_45,dct_46,dct_47,dct_48,dct_49,dct_50,dct_51,dct_52,dct_53,dct_54,dct_55,dct_56,dct_57,dct_58,dct_59,dct_60,dct_61,dct_62,dct_63,dct_64,dct_65,dct_66,dct_67,dct_68,dct_69,dct_70,dct_71,dct_72,dct_73,dct_74,dct_75,dct_76,dct_77,dct_78,dct_79,dct_80,dct_81,dct_82,dct_83,dct_84,dct_85,dct_86,dct_87,dct_88,dct_89,dct_90,dct_91,dct_92,dct_93,dct_94,dct_95,dct_96,dct_97,dct_98,dct_99,dct_100,dct_101,dct_102,dct_103,dct_104,dct_105,dct_106,dct_107,dct_108,dct_109,dct_110,dct_111,dct_112,dct_113,dct_114,dct_115,dct_116,dct_117,dct_118,dct_119,dct_120,dct_121,dct_122,dct_123,dct_124,dct_125,dct_126,dct_127,dct_128,dct_129,dct_130,dct_131,dct_132,dct_133,dct_134,dct_135,dct_136,dct_137,dct_138,dct_139,dct_140,dct_141,dct_142,dct_143,dct_144,dct_145,dct_146,dct_147,dct_148,dct_149,dct_150,dct_151,dct_152,dct_153,dct_154,dct_155,dct_156,dct_157,dct_158,dct_159,dct_160,dct_161,dct_162,dct_163,dct_164,dct_165,dct_166,dct_167,dct_168,dct_169,dct_170,dct_171,dct_172,dct_173,dct_174,dct_175,dct_176,dct_177,dct_178,dct_179,dct_180,dct_181,dct_182,dct_183,dct_184,dct_185,dct_186,dct_187,dct_188,dct_189,dct_190,dct_191,dct_192,dct_193,dct_194,dct_195,dct_196,dct_197,dct_198,dct_199,dct_200,dct_201,dct_202,dct_203,dct_204,dct_205,dct_206,dct_207,dct_208,dct_209,dct_210,dct_211,dct_212,dct_213,dct_214,dct_215,dct_216,dct_217,dct_218,dct_219,dct_220,dct_221,dct_222,dct_223,dct_224,target
0,5011.6445,409.08737,-401.43848,321.44077,54.343758,264.07568,-298.86276,465.31616,-588.0242,378.93707,-206.91362,223.7939,-135.49303,90.569496,-18.8844,-159.59604,-46.634655,-207.46675,5.092093,-290.2347,-57.79077,67.30569,-71.48351,150.3688,-219.30844,-129.02786,-189.97733,-448.97055,-292.9727,-386.22025,11.072218,-420.69717,-93.19828,-183.30064,-240.13866,-89.469154,-127.50367,-81.65879,-200.60883,-53.923798,62.01162,67.13424,30.98855,40.19187,-262.0558,-90.97198,-173.40244,-173.38234,-52.872154,-25.318874,-69.38972,-37.039066,78.74819,90.64896,-108.76908,198.48845,76.527725,-80.61422,-9.495048,-47.72584,-36.209484,-86.65025,-129.5802,-79.96497,-13.132358,-139.0597,-68.18973,-400.37817,48.374607,-235.27075,31.443153,-167.16739,103.63981,263.24664,-86.777145,33.21869,-73.96813,242.33542,17.015951,152.99745,-42.594498,134.44266,61.17431,284.91412,63.81281,147.04564,33.972145,6.943569,5.1069174,-69.7388,108.35055,6.32984,147.8106,102.31453,152.53622,27.537668,285.77756,40.20651,304.0841,-4.447216,148.85315,31.196903,-26.585335,155.66182,5.973092,124.60763,-43.52989,-65.52163,-127.4794,-33.599945,-236.85803,-108.57022,-174.80963,167.45879,-227.03946,-12.951616,7.2842145,-17.982386,11.736802,-88.418945,44.65826,-121.59504,77.18417,-46.745766,98.46832,-82.81312,110.925514,-62.97853,63.563133,-44.49224,-62.44712,119.84647,-99.208244,95.631096,-36.46134,-7.7623706,147.9065,73.5549,95.747185,-82.53521,64.40932,12.582738,-97.19919,118.20726,-94.64217,45.49846,-96.713234,-29.447283,-105.09483,-35.483845,-71.69539,13.291662,-31.633753,91.19725,47.706043,-125.97008,177.44516,-103.63494,187.60591,-42.976494,-21.839264,-22.799868,-49.41104,-81.93822,-24.198101,-75.49079,-16.312683,-114.02438,-83.846214,-20.641445,-107.017624,83.02485,-166.84055,78.55678,-35.231194,71.446594,-16.452164,46.274426,47.06157,56.79912,-43.936428,159.63196,-61.783524,-13.249329,118.54868,-149.55322,112.04258,-115.13517,165.81468,-93.692375,-97.71412,63.398067,66.72201,57.12619,21.122137,6.289853,88.699776,-39.772835,51.491955,-38.21728,-77.509315,191.94798,-122.17488,-1.1391714,-0.93067896,31.052057,7.0269074,-2.5266147,10.547466,173.38133,19.77257,118.727394,-33.161617,49.933533,133.18155,-24.969343,162.13098,-72.123375,154.91263,10.468464,-60.595757,-6.3852215,44.951355,-21.541183,53.457455,1
1,5110.0654,517.61884,-293.20352,330.96176,98.83084,352.01108,-214.92612,468.82156,-410.98218,321.32266,-200.29138,353.1683,-38.914993,162.79022,-128.92865,106.32808,-375.15955,-60.942234,-104.220085,-263.62964,33.009937,65.58425,275.1431,-171.3887,46.850327,-213.48235,-301.57803,-157.74646,-99.279854,-419.87082,83.93811,-180.84727,37.148464,9.0494,-4.3003545,183.92793,130.3875,148.48175,129.24715,285.72302,139.15186,90.13837,308.31543,345.06076,139.01752,108.3773,-72.01435,102.747955,-136.6962,-50.333828,-196.83223,-215.10474,25.143585,117.09847,-92.15089,-115.45275,-278.31915,-271.29074,-249.05292,-197.8743,-204.64044,-386.38095,-167.61746,-478.9053,-382.4294,-537.7185,-401.59393,-422.80826,-439.96188,-602.4806,-207.50026,-332.01517,-293.37784,-181.77081,-252.51843,24.002602,-365.73132,68.43164,-240.50082,23.825735,-22.404058,27.440605,96.65387,0.5347363,115.292755,93.470604,12.25184,-18.132948,12.016683,-240.55641,79.07286,-142.88486,-29.684637,-123.943115,-87.98439,21.551458,-85.53868,12.456471,-29.08591,-87.16891,51.475613,-140.32666,-49.11286,-56.00779,-185.89091,-128.66623,-324.6857,-23.163822,-82.59408,-114.297485,-232.82971,-136.62637,-138.04477,-57.655422,-204.67105,-61.04489,-152.16875,84.00355,110.754295,-8.273862,332.24918,0.8660482,465.88037,134.84444,268.6335,259.163,214.71924,326.79877,229.4148,281.39902,204.42236,331.3026,203.16524,181.16698,233.87648,337.91364,260.35153,199.82825,270.52133,255.95444,195.20352,184.07167,133.2632,228.02898,50.56164,232.61604,-10.354489,79.6154,21.897995,-94.54258,49.300762,-148.35422,92.52861,-68.37263,66.75604,-16.015736,-28.597149,51.410503,65.59826,42.038162,38.73309,99.8045,22.64945,14.022101,81.047295,96.33207,44.055637,28.442507,64.26618,-4.6290803,39.870937,14.316081,59.490734,41.249355,8.530695,136.26314,-72.43495,64.69858,11.549742,68.73198,11.51698,50.250328,-0.94139695,-28.254522,-89.02182,34.342632,-133.22282,-239.75005,-74.50614,-294.72403,-115.68707,-285.3921,-10.907842,-348.73273,-200.8833,-232.57953,-303.29086,-57.53154,-218.55556,-105.88014,-249.55063,-24.891632,-150.51067,1.4110374,-80.893974,-82.98636,-39.964508,-70.77125,-32.293995,-148.89548,37.797226,-64.7069,1.0801716,-22.481163,-29.906366,75.99624,-24.931108,13.585123,22.332132,123.814095,165.39975,83.2427,115.09338,58.09564,127.962395,1
2,5129.0786,30.297255,-883.7578,-52.38771,-117.63777,95.87365,-530.1919,72.275375,-801.15436,-5.940821,-232.63757,99.56467,-290.5998,-191.67867,-33.098225,-248.79051,-342.56393,-76.90409,-244.32462,-208.89992,-241.26082,-250.74716,132.59973,-219.15742,83.278625,-99.69301,144.22133,-25.183706,145.91957,-106.06584,100.194916,-101.42072,-13.731437,144.68706,-25.1281,-32.580368,369.6369,147.38553,544.5577,337.5689,85.89936,290.9949,-70.64456,427.25436,-150.12662,275.21176,-245.88083,61.439625,-255.35826,70.90098,-154.79405,-173.01273,-213.11145,-163.34204,118.65894,-270.91626,-66.21913,-296.48712,11.883704,-237.35051,138.21576,-269.42377,-154.56679,14.545352,-184.24219,91.85444,24.146982,80.60524,-29.352175,20.597702,-60.413067,169.2221,-11.150785,140.1894,137.88068,192.85495,139.7176,149.8689,81.92396,18.647001,-4.7645936,161.04088,157.44913,119.9659,13.637131,-11.244761,-15.840151,71.77396,17.51238,-208.39407,3.6188457,-149.31172,-116.57464,-223.80151,43.419083,-79.21082,-82.08401,-95.4418,39.19572,-11.838842,-230.19527,56.733524,-173.5096,17.096476,-110.815834,73.2793,-98.626785,98.87542,-10.862006,-15.006765,29.573872,81.42803,194.77571,18.344393,111.84209,-23.374094,136.7166,137.4346,69.76987,5.182728,169.0162,33.42794,-54.37518,25.815601,-33.56938,-23.351982,-20.916433,-75.66792,-3.6809735,-5.993036,-107.98685,27.841438,-6.1080623,-144.06621,-20.13544,34.442375,-27.078209,-50.90281,28.580585,-100.52018,-36.79701,4.606798,21.71947,-92.958336,-64.42712,24.537283,-20.882008,-73.274704,78.90811,-4.481043,-12.985431,-53.40159,101.22788,-11.753185,-49.396545,88.63514,-106.675186,20.969553,113.04415,194.78539,100.1099,128.8501,165.07614,35.77124,32.24809,-45.49868,-65.438416,57.199203,-57.134365,-80.96166,-68.85735,9.01542,9.152269,-72.29609,-73.59531,2.9532628,-34.55006,-48.3922,-93.05015,16.801569,-52.86872,-33.3356,13.267774,62.187656,-43.954433,9.10586,-42.16829,-68.07298,-44.122375,26.317581,-37.021263,5.6455603,-37.88089,-64.8493,27.7539,-21.804213,28.884546,90.42028,143.19371,-21.54604,57.63421,130.55232,139.86542,104.8855,95.49953,3.3764095,99.02917,15.39574,-87.03109,13.617558,-78.97877,-38.11595,-67.50909,-73.16684,-69.6777,-62.01677,-77.287445,-128.72313,78.495735,-134.81123,-60.00828,-47.697773,-27.066614,70.09561,69.56305,1
3,4960.197,227.93173,-1014.37616,-62.692825,-350.29324,-129.22397,-618.9838,202.43825,-805.4834,147.12354,-219.08127,-164.8437,-280.1108,-227.1633,-126.08173,-271.05225,-2.541608,-187.07294,20.882421,-102.81866,-62.67019,112.14213,-106.41993,-81.337456,127.42422,119.66302,17.829023,35.84527,-150.04889,-160.24875,89.72038,98.416306,-91.89504,333.5052,164.91632,292.69342,428.62823,283.80484,33.333244,78.039474,-13.740536,58.388756,103.54581,-177.76149,-254.3568,-194.40887,14.2465725,-206.3537,-70.735085,-157.51836,-127.63778,-102.9803,-69.40651,-108.933235,-207.81845,-24.182852,12.767161,69.52602,144.66093,19.222393,-47.24433,45.670982,-44.206917,99.2615,97.559326,-2.1685853,230.69325,54.22452,-48.956806,168.65962,32.710445,-69.4102,86.427574,-169.41641,57.276016,29.37535,252.03958,67.852776,67.43824,80.70725,-123.190796,33.78647,-285.6972,-67.326775,-283.99738,-68.96692,-166.62886,68.72313,-4.8578987,-142.40155,90.02299,-110.60699,188.51653,-65.72706,216.22537,-131.6421,62.095093,134.91942,-51.799553,104.177345,-11.888038,32.3426,-62.485596,70.81156,-81.8697,129.28973,-50.43104,61.986977,29.083687,48.798553,-58.72654,2.963811,-12.063624,78.047844,-19.013147,-67.34664,14.567358,-35.141163,103.49317,-89.80406,92.711296,-111.47111,116.42006,-106.45676,-121.893745,-143.31084,-23.660538,-30.342556,-77.269,72.01259,-81.14284,147.7961,-127.53677,174.87196,-94.86282,86.94882,57.684433,-25.414541,140.21582,-139.44014,205.41327,-70.59269,87.62539,-11.79878,-19.689844,-16.251766,-1.1531128,5.313528,7.6085577,119.35439,15.27537,7.56353,-82.247696,-2.0842628,-83.12858,-46.748512,-7.2930107,51.285275,18.28323,-37.65409,-74.57912,40.877068,-45.76395,-108.270515,54.359554,-77.6018,50.534542,-113.51584,35.12992,-57.69749,42.852314,199.9991,-34.81579,65.291695,-68.241005,94.0023,-104.42835,10.379441,-13.131791,40.936577,28.15273,16.68818,56.364487,12.910532,94.77899,-73.991646,49.378258,-54.01723,-7.656173,-27.72293,-44.956238,-62.662975,2.0728095,74.18023,49.046307,-5.954613,-31.79502,64.67974,-107.730385,-91.444695,-57.074802,66.33833,-31.25322,-8.154961,94.86837,-33.994892,-27.328049,10.459762,8.706196,-22.119387,44.043797,-68.091896,26.6453,51.29439,111.44449,-1.4882416,-16.024914,-20.277357,-85.99413,-36.407784,-18.851137,-29.937273,-2.1793797,132.71011,-4.4828434,1
4,5400.8545,197.64737,-340.3986,194.20992,143.87126,302.4311,-453.88803,163.19357,-638.0685,243.24315,-313.80978,263.55695,-426.9515,59.407402,-275.3512,112.05309,-350.52536,-47.08432,-218.15442,-97.52081,-44.387596,-64.25676,60.656635,-45.307922,158.69466,-139.15094,144.75383,-190.57993,-143.79402,-455.094,166.47054,-428.23087,-116.02638,-54.33796,-127.91829,-17.865332,168.3732,-61.336685,-240.79173,-244.83633,-182.54935,213.02325,-116.20536,-28.22157,-12.070167,180.41365,-181.91382,111.52367,-153.63538,17.86653,-252.6409,-84.73004,-120.73356,-75.73377,-80.02098,-197.25237,-46.545692,-148.91185,155.38506,-124.2223,31.679098,-304.64612,144.88498,-6.1851473,24.273264,33.730156,211.21873,74.22513,148.51572,144.90881,12.222286,143.19347,-141.85881,168.09921,-164.02641,33.697304,-65.74941,80.556625,-69.394325,2.844143,19.872545,-19.83935,-104.73663,54.098133,-3.3695216,-143.55852,78.666245,-175.13063,70.520325,-177.54282,167.26146,-221.37646,-78.807686,20.223928,-313.1874,-0.47315812,-113.92815,-104.10724,-70.05481,-9.42574,-7.353416,6.150239,-82.42638,30.43071,-67.70894,19.146065,101.10206,52.729996,84.2644,129.39618,232.2638,102.79388,212.16922,168.46721,124.14474,59.36651,-175.60126,41.71771,-145.49759,-31.639189,-34.133324,-25.97841,-88.80488,-64.22873,19.067175,13.227352,56.45499,-163.61539,60.08871,-146.03043,68.11243,9.849525,53.87073,53.804745,141.4794,78.59682,82.791725,55.718624,-58.724743,152.68365,-46.418297,86.483696,51.577557,179.46123,64.2944,207.6602,149.67468,161.77411,207.48726,150.36583,75.4082,195.35344,82.24767,31.014603,198.7395,94.209984,297.33453,-12.409527,110.87721,52.12704,-4.980282,-99.796524,-178.98228,-154.96857,-228.9165,-161.462,-169.5062,-217.0164,-226.89433,-120.789116,-41.860138,-169.53761,-93.68835,-106.73887,-31.735577,12.207697,-111.41443,103.58604,41.01143,105.30342,-102.350426,153.36034,16.241543,43.03043,-57.971516,-157.2286,11.6381855,-182.90724,0.6411803,-145.35785,-73.028564,-136.7966,-11.79328,-80.1393,-73.7174,7.2077107,36.9824,11.2873745,-65.65769,-66.19659,-36.04903,-25.90571,10.655349,93.20688,-120.75021,58.097633,-56.834984,-80.074,-37.72782,44.322235,31.920767,-3.0472488,-39.909107,-11.998634,38.83685,-22.408285,61.553856,71.6642,92.87517,11.712805,149.46867,115.348785,155.4417,59.07552,96.95191,1
5,5464.605,-43.30528,-665.09186,-28.476097,-226.53111,20.772425,-631.77203,21.978882,-731.1527,119.515526,-571.58,-5.728635,-527.46515,-121.00666,-218.33675,13.332488,-407.58768,178.11693,-370.26352,-124.55951,-161.6097,62.296093,-52.901524,-104.53836,153.18723,-208.87819,236.10323,-76.97197,68.199265,-189.6486,400.85754,68.76132,270.384,131.85576,110.251884,-97.73447,264.66537,-196.5516,-85.30754,-31.05028,39.378864,222.1603,-110.75321,-100.06974,-251.57655,133.6788,-172.29175,343.60535,75.45692,243.62685,-43.153706,255.17769,29.795422,114.74551,-35.60696,-3.0338936,-50.33348,9.1726675,81.00418,-257.67496,148.44414,-290.67017,117.41373,-106.521805,-170.47646,-149.17758,-156.21785,-185.89252,168.86868,-203.57631,36.123817,-56.750202,-163.47507,-4.1667833,-120.39803,63.60157,-179.44118,118.26122,-88.573166,205.56506,-62.952442,78.78962,-8.657167,69.5518,127.30633,35.87683,111.34195,149.12057,249.02132,108.67765,124.223145,-19.020102,162.69907,-17.476286,67.778114,51.652493,-11.261241,77.3031,-35.20204,144.46542,15.142636,-89.80612,31.76712,-81.243484,98.95361,-224.614,-196.58514,-173.25821,-207.04597,-54.126667,-175.24811,-199.91914,-341.16342,-216.8267,-31.315802,79.201385,-23.001291,129.6349,-23.35453,79.33125,-93.0854,129.2449,81.33693,121.40028,284.66956,59.494534,196.26064,-78.40662,168.94507,-4.221385,158.65607,73.46594,50.68157,21.085556,81.81092,80.82055,16.560316,14.225434,-44.039955,63.599693,-93.93027,-59.953297,-181.67105,29.87882,-162.79845,75.105865,-48.948036,37.56636,80.46709,-63.316803,113.20304,-61.793327,46.65968,-158.71872,-16.160515,-112.53833,-97.783714,-71.93417,-293.6452,-80.01915,-104.62654,-155.67133,-90.70082,-60.691395,7.910627,44.350006,128.45078,-70.61264,30.294838,53.93579,167.20642,139.04782,270.60034,214.69211,145.56094,225.10773,87.62583,203.43092,-82.60401,205.54198,-85.99041,-39.57442,-81.071335,-55.02402,36.351963,-123.729385,99.235886,-132.02516,-17.7325,-87.59156,9.7582035,-131.486,-107.89433,-20.03041,-65.35413,-116.5324,-24.250317,-54.21702,-100.252914,-19.498043,-133.37561,-58.621777,-152.69429,66.75025,-19.142843,-26.708138,39.51875,-68.722755,63.103447,-47.820446,122.74882,51.784866,-52.39205,124.69248,22.447145,43.663708,49.265945,86.606186,126.79802,115.79107,175.15732,69.66788,61.39748,166.03944,128.91628,1
6,5762.1045,303.93884,-540.29004,397.1738,-174.69943,374.30084,-494.71085,568.10547,-447.17383,549.18866,-69.26202,225.29979,-95.057755,-56.663605,80.305725,-356.13123,30.113253,-177.34491,132.27834,-287.05313,159.68588,62.201824,10.374822,-188.62764,30.564774,-112.80657,28.7152,-177.38971,-83.167244,-76.71915,-97.99254,-34.979137,40.55215,375.66718,55.238438,305.63843,231.9402,259.4403,-67.420715,165.02486,-27.847683,145.24554,191.86505,-253.97911,-130.75256,-163.23209,88.5798,17.227757,3.0712352,-174.24203,22.08152,-104.43549,-260.41898,-331.50064,-260.2252,-222.9791,-421.35226,-187.19173,-356.93945,-288.20303,-441.7173,-401.60672,-496.14795,-202.81497,-360.5013,-163.37718,-224.72498,-195.02931,-48.817516,-90.61278,17.253717,-205.17087,-102.11262,-129.73967,-157.51926,160.37105,-32.874683,11.427838,20.812626,-60.936615,-210.12103,-219.40485,-86.58945,-270.37653,-121.57247,31.85474,76.67803,207.67548,-21.941547,65.397865,39.14242,-80.266556,-233.73158,-92.25157,-289.458,-161.63821,-303.13974,-124.31413,-160.31921,-329.38266,-37.689945,-294.11798,-129.29176,-116.66051,-90.07023,-179.11192,-33.127373,-20.76799,39.431343,17.650484,209.73158,294.98172,69.71123,-46.16574,-60.394733,31.801641,31.667261,19.935658,53.877357,218.50775,121.15369,310.83463,160.79639,271.75357,267.06946,217.15717,356.0976,94.12306,237.30872,12.220914,303.5372,-204.34166,218.507,66.92856,215.43881,183.22115,15.128077,132.40294,-35.706135,374.82858,-122.42689,157.51237,19.206318,131.32954,185.10446,108.26173,176.39531,92.0031,350.1297,-7.007878,274.35968,9.780169,112.29967,-56.8015,79.75805,20.45248,51.09905,104.24512,68.759285,252.48389,58.763348,229.04466,-5.8466454,149.60107,-36.389683,-33.293247,-23.543785,-128.64558,13.593971,-184.12662,-32.918163,-89.521385,-128.4706,-85.60708,-67.978546,1.5974402,-77.5297,8.215476,-11.219916,27.283455,10.691128,6.7664247,-20.591156,-58.394688,-52.651554,-177.54324,-119.91504,-59.659824,-208.40071,-55.469994,-87.55223,-76.59931,-81.81118,40.679424,-63.11685,53.056767,-119.55971,-101.02783,-20.88231,-104.664055,-73.79214,-135.7165,-78.63717,-83.70002,-107.440315,-49.615425,-121.51525,-73.289795,-260.94415,-106.04284,-121.06646,-110.52134,79.68585,78.649284,42.523216,69.811295,148.09984,91.686874,47.226425,24.943592,-52.853703,22.974638,23.451347,74.814835,-53.921474,1
7,5394.1445,250.30774,-800.2843,59.754665,-344.8971,-33.452595,-613.5353,310.50418,-883.3404,139.83337,-368.7269,-15.565163,-381.3852,-91.332016,-253.6555,-70.301735,-310.92334,-45.28189,15.789715,-196.05737,221.53827,-110.05132,217.52339,-153.44339,103.598236,-253.8849,59.552708,-98.82612,-98.68026,-424.91852,-187.98021,-279.10223,-207.56253,43.659943,-257.18127,94.22724,-88.90695,128.6362,-27.69024,87.943245,16.8648,303.0042,243.58348,352.58746,161.98682,211.62239,40.73595,99.888054,83.06812,-226.73038,129.10875,-37.960823,153.24023,-58.57945,167.59407,-42.52336,79.172424,5.361494,84.39079,10.401944,-57.092743,-17.930973,-58.8557,124.2082,-97.987045,257.438,-4.721096,121.948555,-103.93334,-40.800632,-2.8211553,-214.67937,-164.46681,-98.01885,-81.34145,-130.0894,-56.160954,-130.89803,30.673857,-34.66835,20.245626,-51.514282,-30.429989,-69.74181,17.926115,-17.570179,25.586716,-72.09849,60.708057,102.381996,-97.61795,21.025095,-66.43492,29.069626,-106.35131,-27.6086,81.6965,136.61958,-90.90938,9.812704,138.2476,34.17325,-29.905186,-41.846783,-19.766766,63.086727,176.63641,-2.5438151,85.53884,113.06258,193.92958,24.310884,-65.730965,-9.662719,-3.355274,6.2859077,53.56123,-64.75068,7.517416,-15.1716795,-93.95567,36.962807,122.51412,-24.113049,-94.877594,91.67008,-108.23983,18.387026,-97.78888,-6.025848,-197.85706,15.589739,-75.27197,-131.5857,6.248015,-120.258026,101.85479,-119.26265,203.27252,7.4561152,160.39622,52.552174,88.04381,-23.229305,-57.60922,-131.8239,-109.76517,49.092556,-215.07268,159.42143,-180.97093,84.909775,-52.986507,-48.975487,49.668015,57.1424,172.29016,132.09398,204.12163,81.51848,23.410381,-2.3090878,56.835556,30.047033,42.46815,-166.74239,-9.268478,-160.43912,-105.38809,-106.061874,31.975645,-54.275326,-93.18623,-2.977633,18.36375,30.084503,-32.776733,98.200874,-135.02519,150.70897,-15.26343,145.26083,-30.27412,124.694534,110.40532,-61.48984,27.329222,-191.42726,-45.120636,-133.29755,2.5070841,-234.09767,41.92562,-45.09819,61.17386,111.10462,-73.75437,92.48356,77.9017,166.818,12.150444,119.04938,130.83408,129.09972,161.8366,52.70678,8.179785,18.371891,-91.66491,-152.83887,-181.42235,-122.13898,-133.77577,-133.47731,-109.95039,-22.875338,-103.96384,-10.914958,-6.5780687,-24.91457,105.612274,-11.008459,119.20764,29.239225,150.60628,1
8,5414.2764,27.47237,-757.65265,95.86707,-327.0771,82.291145,-714.6724,-33.998844,-920.4324,118.71397,-452.17838,-115.26688,-488.29633,-81.82262,-406.80426,2.5614307,-361.0824,21.866615,-40.541206,-167.2098,210.52573,110.85293,156.05151,-233.715,157.96057,-226.14236,124.22461,-45.430424,19.302269,-158.85388,219.69017,22.357767,51.293762,184.35449,212.32664,18.14037,58.268105,123.50227,130.71616,194.55035,-104.59044,153.03285,176.28627,65.39602,-82.4507,52.504967,-495.6647,168.0945,-133.58305,47.457813,-77.639435,-29.307665,169.84808,-193.57321,-8.235887,-276.09286,-21.476276,-159.26561,-53.18166,-116.25242,73.347916,-193.22638,36.980713,-86.1315,159.70146,113.79245,80.61692,264.23267,84.47048,249.82283,43.670944,205.1956,-37.604946,-52.680557,-152.8374,-135.56976,-49.312065,-26.2556,-131.49217,-76.08072,-201.47824,-11.973444,-83.63228,-104.39493,94.82482,-26.865812,59.497425,18.340027,59.91967,141.2376,241.11154,86.76456,50.658123,113.81164,54.944004,-107.836754,-5.6695213,-47.230743,9.197765,-25.35045,-18.738703,-270.93762,38.31715,-25.454836,-29.695446,21.843307,-63.879013,267.5329,-85.03735,100.17161,-38.36771,137.15054,-53.190468,41.93738,-97.302635,-86.30209,3.272793,-99.73241,-78.632286,-64.14236,-31.213009,-81.525215,36.298275,-247.08871,131.26224,-200.71394,165.47372,34.65671,139.91809,111.38834,-71.27214,93.37738,-213.65938,181.12404,-31.862848,167.32481,85.41405,52.312065,182.1525,165.40463,98.42095,25.896944,34.973114,-3.4213662,-81.9912,-117.80225,-91.66309,-87.31737,-82.36123,-82.94711,-150.10805,-146.0923,-79.0843,-100.78407,-10.510837,6.23432,6.40117,59.32816,83.61463,-35.52574,147.81084,-49.121223,75.61505,51.70822,-58.98549,-104.84018,11.413692,2.6604393,-40.841904,28.821468,-169.91179,173.71066,-83.32687,157.08469,-40.0445,174.50171,175.78413,45.28407,207.8034,-8.107495,240.73112,-17.428799,43.828476,-116.69717,-85.86047,-104.37721,-117.436325,-82.63722,-125.58139,-204.22568,-157.83644,-92.759514,-133.37257,4.5985966,4.604209,56.275097,28.166924,106.27196,30.8788,56.22275,134.87265,7.899762,1.3871534,96.307,33.39798,129.99925,34.98854,31.984085,-23.077255,-9.815348,22.806324,-112.91588,-24.831436,-115.73855,46.36086,-82.804756,74.7521,43.78311,-28.501854,76.136246,-27.00159,52.136986,-87.77808,-25.4223,-110.07792,1
9,5074.276,148.07967,-172.90369,-49.565254,-174.66936,-108.65387,-556.53265,-100.17961,-650.97797,8.640314,-281.37866,-26.02962,-493.72565,-12.179105,-519.378,-38.327637,-485.15298,33.837185,-264.19458,-14.882474,3.7315369,115.63448,-12.355363,-134.92137,34.9027,39.89595,-72.63974,219.98204,-207.00717,24.955822,-18.121365,-126.25697,7.792994,-180.56667,-78.61696,-68.22702,63.15762,-91.225044,-27.931145,-83.70171,-40.96011,-16.814087,200.28552,-20.392391,415.43433,-126.69085,363.40063,56.229946,149.57626,205.66705,-24.173262,186.46786,-36.57468,111.27935,63.110916,22.083023,268.43924,97.981804,102.963165,119.59569,-170.0317,-7.5839095,-206.89981,-248.91296,-310.21478,-331.61673,-47.696495,-192.38933,2.8864603,191.18388,-36.88197,230.21892,-60.904842,107.107895,-66.152626,161.4031,124.65,125.01703,33.48357,63.67127,-40.036007,-101.75038,-248.55318,-208.23515,-129.58177,-238.70201,-91.3681,-233.71706,37.14904,-39.23315,-113.53822,18.142317,0.79265136,115.22123,37.039772,8.068879,191.72377,99.89802,220.60912,136.49626,283.08575,42.63793,237.1742,67.22303,52.950413,-46.11263,64.35568,-28.51303,-50.774933,-199.23221,-158.9226,-97.24425,-104.21115,-77.00478,-90.59208,82.29005,-79.79308,163.73274,-54.37042,102.620094,11.271658,76.556274,-52.952248,81.83686,0.4936104,-6.7282467,28.436678,-25.721659,-23.76552,-69.58201,-13.270269,-37.2483,-1.8126141,124.79574,-28.67282,182.51758,-129.1136,51.903713,-103.48895,-29.223389,-117.52161,-164.0798,49.93421,-240.52124,134.84894,-152.35896,120.89223,-60.471424,93.7181,-59.990417,237.7433,-47.42307,119.41726,61.625374,39.987255,108.71594,-74.74011,-20.820976,-115.193054,-174.85135,-92.166824,23.66787,-107.57154,12.504051,-81.384796,78.9084,-67.75032,52.601364,-9.552021,36.55634,32.41643,251.162,90.67978,171.63588,214.04762,152.33852,131.31442,150.67479,11.625399,70.64451,-164.91553,87.614296,-181.11127,-120.93095,-127.7209,-280.38492,-108.4518,-202.10805,-0.5605009,-214.56209,49.239914,-48.870697,137.02637,-73.44508,96.48311,-66.543625,121.25974,-74.9658,42.328365,-14.398869,47.71943,5.068737,-86.05805,64.91255,-68.94373,19.151854,-96.89223,-57.48054,-21.75724,51.499763,-103.71385,88.608925,-26.875202,32.461555,36.351337,16.06058,18.227583,55.942356,106.92688,220.14992,54.88622,213.47859,84.552765,142.15973,49.293404,1
