step 0, training accuracy 0.09
step 1, training accuracy 0.085
step 2, training accuracy 0.1
step 3, training accuracy 0.125
step 4, training accuracy 0.125
step 5, training accuracy 0.145
step 6, training accuracy 0.155
step 7, training accuracy 0.17
step 8, training accuracy 0.18
step 9, training accuracy 0.18
step 10, training accuracy 0.21
step 11, training accuracy 0.22
step 12, training accuracy 0.23
step 13, training accuracy 0.295
step 14, training accuracy 0.315
step 15, training accuracy 0.295
step 16, training accuracy 0.315
step 17, training accuracy 0.34
step 18, training accuracy 0.365
step 19, training accuracy 0.38
step 20, training accuracy 0.4
step 21, training accuracy 0.43
step 22, training accuracy 0.435
step 23, training accuracy 0.42
step 24, training accuracy 0.425
step 25, training accuracy 0.425
step 26, training accuracy 0.45
step 27, training accuracy 0.47
step 28, training accuracy 0.49
step 29, training accuracy 0.505
step 30, training accuracy 0.525
step 31, training accuracy 0.545
step 32, training accuracy 0.58
step 33, training accuracy 0.59
step 34, training accuracy 0.615
step 35, training accuracy 0.645
step 36, training accuracy 0.66
step 37, training accuracy 0.655
step 38, training accuracy 0.675
step 39, training accuracy 0.71
step 40, training accuracy 0.715
step 41, training accuracy 0.71
step 42, training accuracy 0.71
step 43, training accuracy 0.72
step 44, training accuracy 0.725
step 45, training accuracy 0.74
step 46, training accuracy 0.74
step 47, training accuracy 0.76
step 48, training accuracy 0.755
step 49, training accuracy 0.78
step 50, training accuracy 0.815
step 51, training accuracy 0.795
step 52, training accuracy 0.83
step 53, training accuracy 0.84
step 54, training accuracy 0.85
step 55, training accuracy 0.86
step 56, training accuracy 0.88
step 57, training accuracy 0.89
step 58, training accuracy 0.9
step 59, training accuracy 0.91
step 60, training accuracy 0.91
step 61, training accuracy 0.925
step 62, training accuracy 0.93
step 63, training accuracy 0.94
step 64, training accuracy 0.94
step 65, training accuracy 0.95
step 66, training accuracy 0.96
step 67, training accuracy 0.965
step 68, training accuracy 0.97
step 69, training accuracy 0.975
step 70, training accuracy 0.975
step 71, training accuracy 0.975
step 72, training accuracy 0.98
step 73, training accuracy 0.98
step 74, training accuracy 0.98
step 75, training accuracy 0.975
step 76, training accuracy 0.98
step 77, training accuracy 0.975
step 78, training accuracy 0.975
step 79, training accuracy 0.98
step 80, training accuracy 0.98
step 81, training accuracy 0.98
step 82, training accuracy 0.985
step 83, training accuracy 0.985
step 84, training accuracy 0.985
step 85, training accuracy 0.985
step 86, training accuracy 0.985
step 87, training accuracy 0.985
step 88, training accuracy 0.985
step 89, training accuracy 0.985
step 90, training accuracy 0.985
step 91, training accuracy 0.985
step 92, training accuracy 0.985
step 93, training accuracy 0.985
step 94, training accuracy 0.985
step 95, training accuracy 0.985
step 96, training accuracy 0.985
step 97, training accuracy 0.985
step 98, training accuracy 0.985
step 99, training accuracy 0.985
step 100, training accuracy 0.985
step 101, training accuracy 0.985
step 102, training accuracy 0.99
step 103, training accuracy 0.99
step 104, training accuracy 0.985
step 105, training accuracy 0.985
step 106, training accuracy 0.99
step 107, training accuracy 0.99
step 108, training accuracy 0.99
step 109, training accuracy 0.99
step 110, training accuracy 0.995
step 111, training accuracy 0.995
step 112, training accuracy 0.99
step 113, training accuracy 0.99
step 114, training accuracy 0.99
step 115, training accuracy 0.995
step 116, training accuracy 0.995
step 117, training accuracy 1
step 118, training accuracy 1
step 119, training accuracy 1
step 120, training accuracy 1
step 121, training accuracy 1
step 122, training accuracy 1
step 123, training accuracy 1
step 124, training accuracy 1
step 125, training accuracy 1
step 126, training accuracy 1
step 127, training accuracy 1
step 128, training accuracy 1
step 129, training accuracy 1
step 130, training accuracy 1
step 131, training accuracy 1
step 132, training accuracy 1
step 133, training accuracy 1
step 134, training accuracy 1
step 135, training accuracy 1
step 136, training accuracy 1
step 137, training accuracy 1
step 138, training accuracy 1
step 139, training accuracy 1
step 140, training accuracy 1
step 141, training accuracy 1
step 142, training accuracy 1
step 143, training accuracy 1
step 144, training accuracy 1
step 145, training accuracy 1
step 146, training accuracy 1
step 147, training accuracy 1
step 148, training accuracy 1
step 149, training accuracy 1
step 150, training accuracy 1
step 151, training accuracy 1
step 152, training accuracy 1
step 153, training accuracy 1
step 154, training accuracy 1
step 155, training accuracy 1
step 156, training accuracy 1
step 157, training accuracy 1
step 158, training accuracy 1
step 159, training accuracy 1
step 160, training accuracy 1
step 161, training accuracy 1
step 162, training accuracy 1
step 163, training accuracy 1
step 164, training accuracy 1
step 165, training accuracy 1
step 166, training accuracy 1
step 167, training accuracy 1
step 168, training accuracy 1
step 169, training accuracy 1
step 170, training accuracy 1
step 171, training accuracy 1
step 172, training accuracy 1
step 173, training accuracy 1
step 174, training accuracy 1
step 175, training accuracy 1
step 176, training accuracy 1
step 177, training accuracy 1
step 178, training accuracy 1
step 179, training accuracy 1
step 180, training accuracy 1
step 181, training accuracy 1
step 182, training accuracy 1
step 183, training accuracy 1
step 184, training accuracy 1
step 185, training accuracy 1
step 186, training accuracy 1
step 187, training accuracy 1
step 188, training accuracy 1
step 189, training accuracy 1
step 190, training accuracy 1
step 191, training accuracy 1
step 192, training accuracy 1
step 193, training accuracy 1
step 194, training accuracy 1
step 195, training accuracy 1
step 196, training accuracy 1
step 197, training accuracy 1
step 198, training accuracy 1
step 199, training accuracy 1
test accuracy 0.568965
